id,tier,family,url,h1,title_tag,primary_query,queries,impressions,clicks,conversions,words,content_blocks,top_queries
1,1,packages-from-city,/packages/from/delhi,Kashmir Tour Packages from Delhi,"Kashmir Tour Packages from Delhi - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from delhi,1296,23233,602,41.5,1200-1600,"Live round-trip airfare band Delhi to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Delhi: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Delhi, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Delhi arrival time, not a generic Day 1 | Best months to fly from Delhi and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Delhi, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/delhi-to-srinagar-flight",delhi to kashmir train (1867) ; airfare from new delhi to srinagar (1134) ; delhi to kashmir flight (1112) ; airfare to srinagar from new delhi (805) ; delhi to gulmarg by train (760) ; delhi to kashmir (757) ; delhi to srinagar train (594) ; delhi to srinagar by train (594)
2,1,packages-from-city,/packages/from/mumbai,Kashmir Tour Packages from Mumbai,"Kashmir Tour Packages from Mumbai - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from mumbai,390,4899,244,14.0,1200-1600,"Live round-trip airfare band Mumbai to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Mumbai: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Mumbai, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Mumbai arrival time, not a generic Day 1 | Best months to fly from Mumbai and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Mumbai, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/mumbai-to-srinagar-flight",airfare from mumbai to srinagar (471) ; kashmir packages from mumbai (360) ; mumbai to kashmir by train (342) ; airfare to srinagar from mumbai (220) ; mumbai to kashmir flight (217) ; kashmir tour packages from mumbai (150) ; vaishno devi tour package from mumbai (123) ; mumbai to kashmir (104)
3,1,packages-from-city,/packages/from/bangalore,Kashmir Tour Packages from Bangalore,"Kashmir Tour Packages from Bangalore - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from bangalore,235,3556,164,12.0,1200-1600,"Live round-trip airfare band Bangalore to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Bangalore: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Bangalore, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Bangalore arrival time, not a generic Day 1 | Best months to fly from Bangalore and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Bangalore, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/bangalore-to-srinagar-flight",bangalore to kashmir flight (762) ; bangalore to kashmir train (566) ; bangalore to kashmir (316) ; bangalore to srinagar flight (273) ; kashmir tour packages from bangalore (95) ; bangalore to srinagar train (80) ; kashmir honeymoon packages from bangalore (62) ; kashmir packages from bangalore (57)
4,1,packages-from-city,/packages/from/hyderabad,Kashmir Tour Packages from Hyderabad,"Kashmir Tour Packages from Hyderabad - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from hyderabad,153,1317,80,6.0,1200-1600,"Live round-trip airfare band Hyderabad to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Hyderabad: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Hyderabad, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Hyderabad arrival time, not a generic Day 1 | Best months to fly from Hyderabad and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Hyderabad, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/hyderabad-to-srinagar-flight",hyderabad to kashmir flight (204) ; hyderabad to kashmir (92) ; airfare from hyderabad to srinagar (63) ; hyderabad to kashmir by train (50) ; kashmir tour package from hyderabad (49) ; hyderabad to kashmir train (48) ; hyderabad to kashmir tour (46) ; how to go kashmir from hyderabad (44)
5,1,packages-from-city,/packages/from/chennai,Kashmir Tour Packages from Chennai,"Kashmir Tour Packages from Chennai - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from chennai,125,833,46,1.0,1200-1600,"Live round-trip airfare band Chennai to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Chennai: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Chennai, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Chennai arrival time, not a generic Day 1 | Best months to fly from Chennai and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Chennai, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/chennai-to-srinagar-flight",chennai to kashmir flight (124) ; chennai to kashmir (72) ; airfare from chennai to srinagar (52) ; kashmir tour package from chennai (44) ; chennai to kashmir flight ticket price (36) ; kashmir honeymoon packages from chennai (36) ; kashmir tour packages from chennai (35) ; chennai to gulmarg (27)
6,1,packages-from-city,/packages/from/kolkata,Kashmir Tour Packages from Kolkata,"Kashmir Tour Packages from Kolkata - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from kolkata,295,3737,57,6.0,1200-1600,"Live round-trip airfare band Kolkata to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Kolkata: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Kolkata, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Kolkata arrival time, not a generic Day 1 | Best months to fly from Kolkata and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Kolkata, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/kolkata-to-srinagar-flight",kolkata to kashmir tour (298) ; kolkata to kashmir (290) ; kolkata to kashmir flight ticket price (215) ; kashmir tour package from kolkata (184) ; howrah to kashmir train journey (179) ; howrah to kashmir (178) ; airfare from kolkata to srinagar (88) ; kolkata to kashmir tour package price (87)
7,1,packages-from-city,/packages/from/pune,Kashmir Tour Packages from Pune,"Kashmir Tour Packages from Pune - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from pune,129,1305,54,1.0,1200-1600,"Live round-trip airfare band Pune to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Pune: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Pune, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Pune arrival time, not a generic Day 1 | Best months to fly from Pune and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Pune, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/pune-to-srinagar-flight",pune to kashmir flight (239) ; kashmir tour packages from pune (199) ; pune to srinagar flight (179) ; pune to gulmarg flight (54) ; pune to srinagar (40) ; pune to vaishno devi trip (34) ; pune to kashmir flight ticket price (29) ; pune to srinagar by road (26)
8,1,packages-from-city,/packages/from/ahmedabad,Kashmir Tour Packages from Ahmedabad,"Kashmir Tour Packages from Ahmedabad - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from ahmedabad,135,1157,52,3.0,1200-1600,"Live round-trip airfare band Ahmedabad to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Ahmedabad: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Ahmedabad, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Ahmedabad arrival time, not a generic Day 1 | Best months to fly from Ahmedabad and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Ahmedabad, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/ahmedabad-to-srinagar-flight",kashmir tour packages from ahmedabad (139) ; airfare from ahmedabad to srinagar (109) ; ahmedabad to kashmir flight (104) ; ahmedabad to kashmir train (73) ; ahmedabad kashmir (46) ; ahmedabad to kashmir (37) ; kashmir honeymoon packages from ahmedabad (36) ; ahmedabad to srinagar flight (32)
9,1,packages-from-city,/packages/from/chandigarh,Kashmir Tour Packages from Chandigarh,"Kashmir Tour Packages from Chandigarh - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from chandigarh,130,1400,56,6.0,1200-1600,"Live round-trip airfare band Chandigarh to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Chandigarh: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Chandigarh, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Chandigarh arrival time, not a generic Day 1 | Best months to fly from Chandigarh and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Chandigarh, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/chandigarh-to-srinagar-flight",chandigarh to kashmir flight (227) ; chandigarh to kashmir (149) ; chandigarh to srinagar by road (138) ; chandigarh to kashmir train (78) ; chandigarh to kashmir trip (62) ; airfare to srinagar from chandigarh (54) ; airfare from chandigarh to srinagar (52) ; chandigarh to kashmir by train (49)
10,1,packages-from-city,/packages/from/lucknow,Kashmir Tour Packages from Lucknow,"Kashmir Tour Packages from Lucknow - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from lucknow,93,1328,47,1.0,1200-1600,"Live round-trip airfare band Lucknow to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Lucknow: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Lucknow, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Lucknow arrival time, not a generic Day 1 | Best months to fly from Lucknow and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Lucknow, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/lucknow-to-srinagar-flight",lucknow to kashmir by train (305) ; lucknow to kashmir (265) ; lucknow to kashmir flight (181) ; lucknow se kashmir kaise jaen (119) ; lucknow to kashmir by road (29) ; lucknow to srinagar by train (25) ; how to go kashmir from lucknow (20) ; flight from lucknow to kashmir (20)
